NCTId,PD-L1,CUI
NCT00025285,NULL,
NCT00193349,NULL,
NCT00516022,NULL,
NCT00423449,NULL,
NCT00870870,NULL,
NCT05026593,NULL,
NCT01266512,NULL,
NCT01450761,NULL,
NCT00258739,NULL,
NCT00212043,NULL,
NCT00132665,NULL,
NCT00002822,NULL,
NCT00887783,NULL,
NCT00791154,NULL,
NCT00883779,NULL,
NCT00193427,NULL,
NCT00264498,NULL,
NCT00153803,NULL,
NCT00499109,NULL,
NCT01648517,NULL,
NCT00600587,NULL,
NCT00446225,NULL,
NCT00004186,NULL,
NCT00401609,NULL,
NCT00215930,NULL,
NCT04449861,PD-L1_Negative,C4054670
NCT00138658,NULL,
NCT00049218,NULL,
NCT00191230,NULL,
NCT00413283,NULL,
NCT00002623,NULL,
NCT00695994,NULL,
NCT04712903,PD-L1_Negative,C4054670
NCT00317200,NULL,
NCT04870112,PD-L1_Negative,C4054670
NCT00086268,NULL,
NCT02175381,NULL,
NCT01998919,NULL,
NCT00759824,NULL,
NCT00606502,NULL,
NCT00068289,NULL,
NCT03717155,NULL,
NCT00003860,NULL,
NCT02945852,NULL,
NCT02292550,NULL,
NCT02299505,NULL,
NCT01772797,NULL,
NCT01685138,NULL,
NCT02040870,NULL,
NCT02276027,NULL,
NCT01685060,NULL,
NCT02336451,NULL,
NCT02422589,NULL,
NCT02605746,NULL,
NCT01712217,NULL,
NCT01300429,NULL,
NCT01579994,NULL,
NCT03088930,NULL,
NCT00965731,NULL,
NCT00932451,NULL,
NCT01121575,NULL,
NCT01998126,NULL,
NCT01970865,NULL,
NCT02183870,NULL,
NCT01945021,NULL,
NCT02679170,NULL,
NCT03718117,NULL,
NCT01597258,NULL,
NCT05014464,NULL,
NCT02727335,NULL,
NCT02372448,NULL,
NCT05792644,NULL,
NCT01744652,NULL,
NCT00585195,NULL,
NCT01752400,NULL,
NCT02718651,NULL,
NCT02042105,NULL,
NCT01703091,NULL,
NCT02789345,NULL,
NCT01168973,NULL,
NCT02443324,PD-L1_Positive,C4284303
NCT02572687,PD-L1_Negative,C4054670
NCT05800418,NULL,
NCT02082210,NULL,
NCT04775095,NULL,
NCT01336634,NULL,
NCT03755102,NULL,
NCT04511533,NULL,
NCT01858389,NULL,
NCT01360554,NULL,
NCT00769067,NULL,
NCT01774721,NULL,
NCT01000025,NULL,
NCT01465802,NULL,
NCT00553254,NULL,
NCT00548093,NULL,
NCT00818441,NULL,
NCT00728390,NULL,
NCT01608022,NULL,
NCT00030407,NULL,
NCT00260026,NULL,
NCT00103389,NULL,
NCT00075374,NULL,
NCT03798743,PD-L1_Negative,C4054670
NCT00030420,NULL,
NCT01362400,NULL,
NCT02658747,NULL,
NCT00582634,NULL,
NCT00995761,NULL,
NCT01824901,NULL,
NCT00003900,NULL,
NCT01107444,NULL,
NCT03394105,NULL,
