NCTId,Histology,CUI
NCT01893268,Non-Small Cell Lung Cancer,C0007131
NCT01963351,Non squamous NSCLC,C4324656
NCT00806923,Non-Small Cell Lung Cancer,C0007131
NCT01343914,Non-Squamous NSCLC,C4324656
NCT00536640,Non Squamous NSCLC,C4324656
NCT02745691,NULL,
NCT01598597,NULL,
NCT02835833,NULL,
NCT00388206,Non Small Cell Lung Cancer,C0007131
NCT00388206,Colorectal Cancer,C0009402
NCT00043823,Non-Small Cell Lung Cancer,C0007131
NCT01827852,Adenocarcinoma,C0001418
NCT05110118,NULL,
NCT00734890,NULL,
NCT00588666,Urothelial Carcinoma,C2145472
NCT00923936,NULL,
NCT03959137,Non-Small Cell Lung Cancer,C0007131
NCT00973557,NULL,
NCT01931098,NULL,
NCT03321513,NULL,
NCT05476341,NULL,
NCT02272413,Adenocarcinoma,C0001418
NCT01588184,Adenocarcinoma,C0001418
NCT01588184,Squamous cell carcinoma,C0349656
NCT01588184,Carcinoma,C0007097
NCT01588184,Large Cell,C0334248
NCT01588184,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT01588184,Carcinoid Tumor,C0007095
NCT01588184,Adenosquamous carcinoma,C0206623
NCT01588184,spindle cell,C0349656
NCT00027703,NULL,
NCT02737501,Adenocarcinoma,C0001418
NCT02094573,Non small Cell Lung Cancer,C0007131
NCT03410108,Non Small Cell Lung Cancer,C0007131
NCT04718012,NULL,
NCT04887519,Non Small Cell Lung Cancer,C0007131
NCT03420742,NULL,
NCT01449461,NULL,
NCT00469898,Small Cell Lung Cancer,C0149925
NCT01004731,Adenocarcinoma,C0001418
NCT01004731,Squamous cell carcinoma,C0349656
NCT01004731,large cell,C0334248
NCT00883675,NULL,
NCT00280735,NULL,
NCT00387660,Small Cell Lung Cancer,C0149925
NCT01331525,Small Cell Lung Cancer,C0149925
NCT00061919,NULL,
NCT02499770,Small Cell Lung Cancer,C0149925
NCT01082549,Squamous cell carcinoma,C0349656
NCT00683904,Non-small Cell Lung Cancer,C0007131
NCT00074204,Non Small Cell Lung Cancer,C0007131
NCT00737867,Non small Cell Lung Cancer,C0007131
NCT00104793,NULL,
NCT00874419,Non Small Cell Lung Cancer,C0007131
NCT00881296,Lung Cancer,C0242379
NCT00326599,Non Small Cell Lung Cancer,C0007131
NCT00912392,Small Cell Lung Cancer,C0149925
NCT00004096,NULL,
NCT00430651,Non Small Cell Lung Carcinoma,C0007131
NCT00042978,Small Cell Lung Cancer,C0149925
NCT01076504,Small Cell Lung Cancer,C0149925
NCT00097214,Non Small Cell Lung Cancer,C0007131
NCT00072527,Small Cell Lung Cancer,C0149925
NCT00449020,Non Small Cell Lung Cancer,C0007131
NCT02289690,Small Cell Lung Cancer,C0149925
NCT00927875,Small Cell Lung Cancer,C0149925
NCT00075751,NULL,
NCT00695292,Small Cell Lung Cancer,C0149925
