NCTId,Histology,CUI
NCT00317200,Adenocarcinoma,C0001418
NCT00317201,Squamous Cell Carcinoma,C0349656
NCT00317202,Large Cell Neuroendocrine Carcinoma of Lung,C1265996
NCT00317203,Carcinoid Tumor,C0007095
NCT00317204,Adenosquamous Carcinoma,C0206623
NCT01079481,Small Cell Lung Cancer,C0149925
NCT00807573,Non Small Cell Lung Cancer,C0007131
NCT00806286,Non-small Cell Lung Cancer,C0007131
NCT00268970,Non small Cell Lung Cancer,C0007131
NCT00317200,Small Cell Lung Cancer,C0149925
NCT00005646,NULL,
NCT00062010,Small Cell Lung Cancer,C0149925
NCT01057342,Small Cell Lung Cancer,C0149925
NCT00062179,Non Small Cell Lung Cancer,C0007131
NCT00687817,Non Small Cell Lung Cancer,C0007131
NCT01011075,Non-small Cell Lung Cancer,C0007131
NCT00540514,Non Small Cell Lung Cancer,C0007131
NCT00970580,Non Small Cell Lung Cancer,C0007131
NCT00005059,Non-small Cell Lung Cancer,C0007131
NCT00453167,NULL,
NCT00003281,Small Cell Lung Cancer,C0149925
NCT02733250,Non Small Cell Lung Cancer,C0007131
NCT01171170,Non-Small Cell Lung Cancer,C0007131
NCT00753909,Non Small Cell Lung Cancer,C0007131
NCT00004055,NULL,
NCT00062062,Non Small Cell Lung Cancer,C0007131
NCT00832819,Non-small Cell Lung Cancer,C0007131
NCT01310244,Non-Small Cell Lung Cancer,C0007131
NCT00243867,Carboplatin Treatment for Advanced Lung Cancer,
NCT00243867,NULL,
NCT01814163,NULL,
NCT00666692,Non small Cell Lung Cancer,C0007131
NCT01024062,Non Small Cell Lung Cancer,C0007131
NCT02525653,Squamous cell carcinoma,C0349656
NCT00654758,Non Small Cell Lung Cancer,C0007131
NCT01196234,Non-small Cell Lung Cancer,C0007131
NCT01160601,Non Small Cell Lung Cancer,C0007131
NCT00735696,Non-small Cell Lung Cancer,C0007131
NCT01763671,Adenocarcinoma,C0001418
NCT02551432,Small Cell Lung Cancer,C0149925
NCT00005032,Small Cell Lung Cancer,C0149925
NCT00487669,Non small Cell Lung Cancer,C0007131
NCT00003299,NULL,
NCT00077246,NULL,
NCT02730247,Non-small Cell Lung Cancer,C0007131
NCT00278148,NULL,
NCT00004126,Non-small Cell Lung Cancer,C0007131
NCT00005849,Non-small Cell Lung Cancer,C0007131
NCT00583830,Non small Cell Lung Cancer,C0007131
NCT01836679,Non-small Cell Lung Cancer,C0007131
NCT00661193,Non Small Cell Lung Cancer,C0007131
NCT00686322,Non small cell Lung Cancer,C0007131
NCT01199055,Non-small Cell Lung Cancer,C0007131
NCT00752115,Non small Cell Lung Cancer,C0007131
NCT00918203,Non Small Cell Lung Cancer,C0007131
NCT01757288,NULL,
NCT00016315,Non Small Cell Lung Cancer,C0007131
NCT00245154,Non Small Cell Lung Cancer,C0007131
NCT00097227,Non Small Cell Lung Cancer,C0007131
NCT00004924,Non-small Cell Lung Cancer,C0007131
NCT02106546,Squamous Non Small Cell Lung Cancer,C4509816
NCT00795340,Non Small Cell Lung Cancer,C0007131
NCT02503358,Non-small Cell Lung Cancer,C0007131
NCT02279732,Squamous cell carcinoma,C0349656
NCT01285609,Squamous cell carcinoma,C0349656
NCT00986674,Non Small Cell Lung Cancer,C0007131
NCT00723957,Non-small Cell Lung Cancer,C0007131
NCT00006229,Non-small Cell Lung Cancer,C0007131
NCT00866528,Non small Cell Lung Cancer,C0007131
NCT01560104,Non-small Cell Lung Cancer,C0007131
NCT00088556,Non Small Cell Lung Cancer,C0007131
NCT00602797,Non Small Cell Lung Cancer,C0007131
NCT00094835,Non Small Cell Lung Cancer,C0007131
NCT00578149,Non Small Cell Lung Cancer,C0007131
NCT01702844,NULL,
NCT01364012,Non-Small Cell Lung Cancer,C0007131
NCT00533585,Non Small Cell Lung Cancer,C0007131
NCT02038647,Small Cell Lung Cancer,C0149925
NCT00481078,Non Small Cell Lung Cancer,C0007131
NCT01165216,Non-small cell lung cancer,C0007131
NCT00680940,Non Small Cell Lung Cancer,C0007131
NCT02367794,Squamous cell carcinoma,C0349656
NCT02250326,NULL,
NCT00002519,NULL,
NCT00017407,Non Small Cell Lung Cancer,C0007131
NCT00642759,Non Small Cell Lung Cancer,C0007131
NCT00025389,Non Small Cell Lung Cancer,C0007131
NCT02264990,Non-Small Cell Lung Cancer,C0007131
NCT00152477,Lung Cancer,C0242379
NCT00006929,Non-small Cell Lung Cancer,C0007131
NCT00093756,Non Small Cell Lung Cancer,C0007131
NCT00603538,Adenocarcinoma,C0001418
NCT00603538,Squamous cell carcinoma,C0349656
NCT00603538,large cell,C0334248
NCT01236716,Squamous cell carcinoma,C0349656
NCT00347412,NULL,
NCT00073723,NULL,
NCT04672928,Small Cell Lung Cancer,C0149925
NCT00991796,Non small Cell Lung Cancer,C0007131
NCT00408460,Non Small Cell Lung Cancer,C0007131
NCT00343291,Adenocarcinoma,C0001418
NCT00343291,Squamous cell carcinoma,C0349656
NCT00343291,Large Cell,C0334248
NCT00343291,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00343291,Carcinoid Tumor,C0007095
NCT00343291,Adenosquamous carcinoma,C0206623
NCT00343291,spindle cell,C0349656
NCT01519804,Squamous cell carcinoma,C0349656
NCT00708812,Non-small Cell Lung Cancer,C0007131
NCT00318136,Squamous cell carcinoma,C0349656
NCT00002969,Non small Cell Lung Cancer,C0007131
NCT00034541,Non Small Cell Lung Cancer,C0007131
NCT00276588,Non Small Cell Lung Cancer,C0007131
NCT00003387,Non-small Cell Lung Cancer,C0007131
NCT03169335,Squamous cell carcinoma,C0349656
NCT00674102,Non Small Cell Lung Cancer,C0007131
NCT01317615,Large Cell,C0206704
NCT00729612,Non Small Cell Lung Cancer,C0007131
NCT00553462,Non Small Cell Lung Cancer,C0007131
NCT00510445,Non Small Cell Lung Cancer,C0007131
NCT00002972,Lung Cancer,C0242379
NCT00527735,Non Small Cell Lung Cancer,C0007131
NCT00527735,Small Cell Lung Cancer,C0149925
NCT00280150,Non Small Cell Lung Cancer,C0007131
NCT01225302,Non Small Cell Lung Cancer,C0007131
NCT01649947,Non small Cell Lung Cancer,C0007131
NCT02392507,Squamous cell carcinoma,C0349656
NCT00006469,Non Small Cell Lung Cancer,C0007131
NCT01763645,Non Small Cell Lung Cancer,C0007131
NCT00193362,Non Small Cell Lung Cancer,C0007131
NCT02309177,Adenocarcinoma,C0001418
NCT02309177,Non Small Cell Lung Cancer,C0007131
NCT02309177,Recurrent Metastatic Breast Cancer,
NCT02328105,Non-Small Cell Lung Cancer,C0007131
NCT00079287,Non Small Cell Lung Cancer,C0007131
NCT00003117,Non-small Cell Lung Cancer,C0007131
NCT01620190,Non small Cell Lung Cancer,C0007131
NCT01493843,Non-small Cell Lung Cancer,C0007131
NCT00147537,Adenocarcinoma,C0001418
NCT00147537,Squamous cell carcinoma,C0349656
NCT00147537,carcinoma,C0007097
NCT00147537,Large Cell,C0334248
NCT00147537,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00147537,Carcinoid Tumor,C0007095
NCT00147537,Adenosquamous carcinoma,C0206623
NCT00147537,spindle cell,C0349656
NCT00287989,Non Small Cell Lung Cancer,C0007131
NCT00085501,Non Small Cell Lung Cancer,C0007131
NCT00178256,NULL,
NCT00003317,NULL,
NCT00023673,Non Small Cell Lung Cancer,C0007131
NCT00096226,Non Small Cell Lung Cancer,C0007131
NCT00050960,NULL,
NCT00600821,Adenocarcinoma,C0001418
NCT00600821,Squamous cell carcinoma,C0349656
NCT00600821,large cell,C0334248
NCT00653939,Non Small Cell Lung Cancer,C0007131
NCT00974584,Non Small Cell Lung Cancer,C0007131
NCT00368992,Non Small Cell Lung Cancer,C0007131
NCT01820754,Non Small Cell Lung Cancer,C0007131
NCT00226590,NULL,
NCT01069328,Non-small Cell Lung Cancer,C0007131
NCT00387374,NULL,
NCT01540045,NULL,
NCT01234038,NULL,
NCT01769391,Squamous cell carcinoma,C0349656
NCT00716534,Non Small Cell Lung Cancer,C0007131
NCT00874107,Non Small Cell Lung Cancer,C0007131
NCT00457119,Non small cell Lung Cancer,C0007131
NCT00020007,NULL,
NCT01048645,Non-small Cell Lung Cancer,C0007131
NCT03092986,NULL,
NCT00861627,NULL,
NCT00534027,Non Small Cell Lung Cancer,C0007131
NCT00034346,Non Small Cell Lung Cancer,C0007131
NCT00533949,Non Small Cell Lung Cancer,C0007131
NCT02027428,Squamous cell carcinoma,C0349656
NCT03594747,NULL,
NCT00088088,Non Small Cell Lung Cancer,C0007131
NCT00004160,NULL,
NCT00001499,NULL,
NCT00274443,Non-Small Cell Lung Cancer,C0007131
NCT02172846,Non Small Cell Lung Cancer,C0007131
NCT02429843,Non Squamous Cell Lung Cancer,
NCT00948675,NULL,
NCT03296163,Squamous cell carcinoma,C0349656
NCT02367781,Non-Small Cell Lung Cancer,C0007131
NCT00655850,Non-Small Cell Lung Cancer,C0007131
NCT01494558,Non Small Cell Lung Cancer,C0007131
NCT00087802,Non Small Cell Lung Cancer,C0007131
NCT01023347,Non Small Cell Lung Cancer,C0007131
NCT00495170,Non Small Cell Lung Cancer,C0007131
NCT01100931,Non Small Cell Lung Carcinoma,C0007131
NCT00004979,Non-small Cell Lung Cancer,C0007131
NCT00021333,Carcinoma,C0007097
NCT00021333,Lung Cancer,C0242379
NCT02151149,NULL,C0007097
NCT00004011,Non small Cell Lung Cancer,C0007131
NCT00006378,NULL,
NCT00003235,NULL,
NCT00081302,Non Small Cell Lung Cancer,C0007131
NCT04640935,NULL,
NCT00003587,Non-small Cell Lung Cancer,C0007131
NCT02366143,Non-Small Cell Lung Cancer,C0007131
NCT03780010,NULL,
NCT00006484,Non-small Cell Lung Cancer,C0007131
NCT01107626,Non-Squamous Non-Small Cell Lung Cancer,C4324656
NCT02716038,NULL,C0007097
NCT03573947,Non-Small Cell Lung Cancer,C0007131
NCT00913705,Non small cell Lung Cancer,C0007131
NCT01366131,Non-Small Cell Lung Cancer,C0007131
NCT00434135,Non Small Cell Lung Cancer,C0007131
NCT00003158,Non-small Cell Lung Cancer,C0007131
NCT01454102,Non-small Cell Lung Cancer,C0007131
NCT00702975,Non-small Cell Lung Cancer,C0007131
NCT00144053,Non Small Cell Lung Cancer,C0007131
NCT00005065,NULL,
NCT02684461,NULL,
NCT00832494,Non Small Cell Lung Cancer,C0007131
NCT00006012,Small Cell Lung Cancer,C0149925
NCT00113516,Non Small Cell Lung Cancer,C0007131
NCT00071188,Non small Cell Lung Cancer,C0007131
NCT00898417,Non Small Cell Lung Cancer,C0007131
NCT00003881,NULL,
NCT02182232,Non-small cell lung cancer,C0007131
NCT00556088,NULL,
NCT01862081,Non-small Cell Lung Cancer,C0007131
NCT01862081,Breast Cancer,C0006142
NCT00032032,Non Small Cell Lung Cancer,C0007131
NCT03196986,Squamous cell carcinoma,C0349656
NCT03196986,Non-small Cell Lung Cancer,C0007131
NCT00280787,NULL,
NCT01486602,Non Small Cell Lung Cancer,C0007131
NCT00003072,Adenocarcinoma,C0001418
NCT00003072,Non small Cell Lung Cancer,C0007131
NCT00563784,Non Small Cell Lung Cancer,C0007131
NCT01496742,Non-Small Cell Lung Cancer,C0007131
NCT02364999,Non-Squamous NSCLC,C4324656
NCT00800202,Non Small Cell Lung Cancer,C0007131
NCT00998192,Squamous cell carcinoma,C0007137
NCT00003089,Non small Cell Lung Cancer,C0007131
NCT00252798,Non Small Cell Lung Cancer,C0007131
NCT00034164,Non Small Cell Lung Cancer,C0007131
NCT00979212,Non Small Cell Lung Cancer,C0007131
NCT00003812,NULL,
NCT00033696,Small Cell Lung Cancer,C0149925
NCT02944396,Non Small Cell Lung Cancer,C0007131
NCT01085136,Non-small Cell Lung Cancer,C0007131
NCT00480831,Non Small Cell Lung Cancer,C0007131
NCT00874848,Non Small Cell Lung Cancer,C0007131
NCT00005806,NULL,
NCT00043108,Non Small Cell Lung Cancer,C0007131
NCT02303977,Adenocarcinoma,C0001418
NCT00004137,Small Cell Lung Cancer,C0149925
NCT01326767,NULL,
NCT03095209,Non Small Cell Lung Cancer,C0007131
NCT03095209,Esophageal Cancer,C0546837
NCT01051934,Adenocarcinoma,C0001418
NCT02754882,Non squamous Non small Cell Lung Cancer,C4324656
NCT00126581,Non-small Cell Lung Cancer,C0007131
NCT00900172,Non Small Cell Lung Cancer,C0007131
NCT02567799,Non Small Cell Lung Cancer,C0007131
NCT00049790,Non Small Cell Lung Cancer,C0007131
NCT00006004,Non-small Cell Lung Cancer,C0007131
NCT02220894,Non-Small Cell Lung Cancer,C0007131
NCT03850444,Non-Small Cell Lung Cancer,C0007131
NCT03099577,Non small Cell Lung Cancer,C0007131
NCT00033410,Non Small Cell Lung Cancer,C0007131
NCT00762034,Non Small Cell Lung Cancer,C0007131
NCT00193310,NULL,
NCT00040794,Non Small Cell Lung Cancer,C0007131
NCT00476216,Non Small Cell Lung Cancer,C0007131
NCT00033553,NULL,
NCT00004202,Non small Cell Lung Cancer,C0007131
NCT00259675,NULL,
NCT00001450,NULL,
NCT01966003,Non Small Cell Lung Cancer,C0007131
NCT01134250,NULL,
NCT02810457,Non squamous Non small Cell Lung Cancer,C4324656
NCT02591615,Non-Small Cell Lung Cancer,C0007131
NCT00002852,Non-small Cell Lung Cancer,C0007131
NCT00035152,NULL,
NCT00085839,Non small Cell Lung Cancer,C0007131
NCT02073968,Non-small Cell Lung Cancer,C0007131
NCT00003313,NULL,
NCT02289456,NULL,
NCT00025480,Non Small Cell Lung Cancer,C0007131
NCT00915005,Non Small Cell Lung Carcinoma,C0007131
NCT03366480,NULL,
NCT01668108,NULL,
NCT00564733,Non Small Cell Lung Cancer,C0007131
NCT00617409,Squamous cell carcinoma,C0349656
NCT00021060,Adenocarcinoma,C0001418
NCT00021060,Squamous cell carcinoma,C0349656
NCT00021060,carcinoma,C0007097
NCT00021060,Large Cell,C0334248
NCT00021060,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00021060,Carcinoid Tumor,C0007095
NCT00021060,Adenosquamous carcinoma,C0206623
NCT00021060,spindle cell,C0349656
NCT00322452,Adenocarcinoma,C0001418
NCT02470468,Adenocarcinoma,C0001418
NCT02728492,NULL,
NCT02069158,Adenocarcinoma,C0001418
NCT02069158,Squamous cell carcinoma,C0349656
NCT02069158,Carcinoma,C0007097
NCT02069158,Large Cell,C0334248
NCT02069158,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT02069158,Carcinoid Tumor,C0007095
NCT02069158,Adenosquamous carcinoma,C0206623
NCT02069158,spindle cell,C0349656
NCT00966914,Adenocarcinoma,C0001418
NCT00074854,NULL,
NCT01840579,Non-small Cell Lung Cancer,C0007131
NCT01840579,Small Cell Lung Cancer,C0149925
NCT00828841,Non-Small Cell Lung Cancer,C0007131
NCT02799862,Non-Small Cell Lung Cancer,C0007131
NCT00828009,Non Small Cell Lung Cancer,C0007131
NCT00091039,Non Small Cell Lung Cancer,C0007131
NCT00550537,Non Small Cell Lung Cancer,C0007131
NCT00107250,Adenocarcinoma,C0001418
NCT00107250,carcinoma,C0007097
NCT00174356,Adenocarcinoma,C0001418
NCT00174356,Squamous cell carcinoma,C0349656
NCT00174356,Large Cell,C0334248
NCT00174356,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00174356,Carcinoid Tumor,C0007095
NCT00174356,Adenosquamous carcinoma,C0206623
NCT00174356,spindle cell,C0349656
NCT00191256,Non Small Cell Lung Cancer,C0007131
NCT03128008,NULL,
NCT00047736,NULL,
NCT00756847,NULL,
NCT03329911,Non-Squamous Non-Small Cell Lung Cancer,C4324656
NCT01850303,Non small Cell Lung Cancer,C0007131
NCT00094861,Non Small Cell Lung Cancer,C0007131
NCT00003589,Non-small Cell Lung Cancer,C0007131
NCT00315185,Adenocarcinoma,C0001418
NCT00315185,Squamous cell carcinoma,C0349656
NCT00315185,carcinoma,C0007097
NCT00315185,Large Cell,C0334248
NCT00315185,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00315185,Carcinoid Tumor,C0007095
NCT00315185,Adenosquamous carcinoma,C0206623
NCT00315185,spindle cell,C0349656
NCT00070629,Non Small Cell Lung Cancer,C0007131
NCT01770795,Non-small cell lung cancer,C0007131
NCT00738452,Non Small Cell Lung Cancer,C0007131
NCT05169801,NULL,
NCT00112294,Non Small Cell Lung Cancer,C0007131
NCT00298415,Non Small Cell Lung Cancer,C0007131
NCT02720614,Non small Cell Lung Cancer,C0007131
NCT02066103,NULL,
NCT00199758,NULL,
NCT00003569,NULL,
NCT01099124,Non Small Cell Lung Cancer,C0007131
NCT00005838,Non-small Cell Lung Cancer,C0007131
NCT02041533,Non Small Cell Lung Cancer,C0007131
NCT00249964,NULL,
NCT00508625,Non Small Cell Lung Cancer,C0007131
NCT00492206,Non-Small Cell Lung Carcinoma,C0007131
NCT02492867,Non Small Cell Lung Cancer,C0007131
NCT00198367,Non Small Cell Lung Cancer,C0007131
NCT02039674,Non-small Cell Lung Cancer,C0007131
NCT00198354,NULL,
NCT03840915,Non-small Cell Lung Cancer,C0007131
NCT00003943,NULL,
NCT00028938,NULL,
NCT03351361,Non-Small Cell Lung Cancer,C0007131
NCT01066234,Adenocarcinoma,C0001418
NCT01783197,Adenocarcinoma,C0001418
NCT01783197,Squamous cell carcinoma,C0349656
NCT01783197,Large Cell,C0334248
NCT01783197,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT01783197,Carcinoid Tumor,C0007095
NCT01783197,Adenosquamous carcinoma,C0206623
NCT01783197,spindle cell,C0349656
NCT02142738,Non Small Cell Lung Cancer,C0007131
NCT01868022,NULL,
NCT02193633,NULL,
NCT01831089,NULL,
NCT00117442,NULL,
NCT01404260,Non Small Cell Lung Cancer,C0007131
NCT00686959,Non Small Cell Lung Cancer,C0007131
NCT02273713,Carcinoma,C0007097
NCT00271505,Non Small Cell Lung Cancer,C0007131
NCT03322566,Non Small Cell Lung Cancer,C0007131
NCT00294762,Non-Small Cell Lung Cancer,C0007131
NCT04144608,Non-small Cell Lung Cancer,C0007131
NCT00700180,Non-Small Cell Lung Cancer,C0007131
NCT00770588,Non Small Cell Lung Cancer,C0007131
NCT01836575,Non-small cell lung cancer,C0007131
NCT01892046,NULL,
NCT00667641,NULL,
NCT00546156,Adenocarcinoma,C0001418
NCT04633564,Non-small cell lung cancer,C0007131
NCT01209520,Non Small Cell Lung Cancer,C0007131
NCT03345810,Non-Small Cell Lung Cancer,C0007131
NCT02064491,Adenocarcinoma,C0001418
NCT02426281,Adenocarcinoma,C0001418
NCT00313599,Adenocarcinoma,C0001418
NCT00078390,NULL,
NCT00101920,Non Small Cell Lung Cancer,C0007131
NCT00667147,NULL,
NCT00019019,Adenocarcinoma,C0001418
NCT00019019,Squamous cell carcinoma,C0349656
NCT00019019,Carcinoma,C0007097
NCT00019019,Large Cell,C0334248
NCT00019019,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00019019,Carcinoid Tumor,C0007095
NCT00019019,Adenosquamous carcinoma,C0206623
NCT00019019,spindle cell,C0349656
NCT01263886,Non-small Cell Lung Cancer,C0007131
NCT03432598,Lung Cancer,C0242379
NCT02659059,Non Small Cell Lung Cancer,C0007131
NCT00216125,Non Small Cell Lung Cancer,C0007131
NCT00078845,NULL,
NCT01243775,Non-Small Cell Lung Cancer,C0007131
NCT05427305,Non-small Cell Lung Cancer,C0007131
NCT01026467,Non Small Cell Lung Cancer,C0007131
NCT00003111,NULL,
NCT00466466,Adenocarcinoma,C0001418
NCT00466466,Squamous cell carcinoma,C0349656
NCT00466466,Carcinoma,C0007097
NCT00466466,Large Cell,C0334248
NCT00466466,large cell neuroendocrine carcinoma of lung,"C1334363, C0345958"
NCT00466466,Carcinoid Tumor,C0007095
NCT00466466,Adenosquamous carcinoma,C0206623
NCT00466466,spindle cell,C0349656
NCT02574078,Non Small Cell Lung Cancer,C0007131
NCT01216111,NULL,
NCT02489903,Adenocarcinoma,C0001418
NCT02489903,NULL,
NCT03986463,NULL,
NCT00028535,NULL,
NCT00531960,Non Small Cell Lung Cancer,C0007131
NCT02033551,NULL,
NCT00003159,Non small Cell Lung Cancer,C0007131
NCT02071862,NULL,
NCT01957007,Non-Small Cell Lung Cancer,C0007131
NCT00820755,Non-small Cell Lung Cancer,C0007131
NCT02881125,Small Cell Carcinoma,C0262584
NCT00312728,Non-Squamous NSCLC,C4324656
NCT02805530,Non Small Cell Lung Carcinoma,C0007131
NCT04237090,NULL,
NCT00309959,NULL,
NCT02716311,Adenocarcinoma,C0001418
NCT01999985,Non small Cell Lung Cancer,C0007131
NCT02629523,NULL,
NCT02440854,Non-Small Cell Lung Cancer,C0007131
NCT02747953,Non Small Cell Lung Cancer,C0007131
NCT02364609,Non small Cell Lung Cancer,C0007131
NCT04640870,Non small Cell Lung Cancer,C0007131
NCT01415011,Adenocarcinoma,C0001418
NCT01156545,Non adenocarcinomatous NSCLC,
NCT01647711,Non-small Cell Lung Cancer,C0007131
NCT02208843,NULL,
NCT01953913,Non Small Cell Lung Cancer,C0007131
NCT04552535,Squamous cell carcinoma,C0349656
NCT02191891,Non small Cell Lung Cancer,C0007131
NCT02044380,Non Small Cell Lung Cancer,C0007131
NCT02625168,Adenocarcinoma,C0001418
NCT01090011,Non Small Cell Lung Cancer,C0007131
NCT01523587,Squamous cell carcinoma,C0349656
NCT00796549,Non Small Cell Lung Cancer,C0007131
NCT00711594,Non Small Cell Lung Cancer,C0007131
NCT00993499,Non-small Cell Lung Cancer,C0007131
NCT00656136,Non-small Cell Lung Cancer,C0007131
NCT04179890,Non-small Cell Lung Cancer,C0007131
NCT04750824,Squamous cell carcinoma,C0349656
NCT02145637,Non Small Cell Lung Cancer,C0007131
NCT03370770,NULL,
NCT03157089,Squamous cell carcinoma,C0349656
NCT01074177,NULL,
NCT01121393,Non-small Cell Lung Cancer,C0007131
NCT00525148,Non-Small Cell Lung Cancer,C0007131
NCT01466660,Adenocarcinoma,C0001418
NCT02514174,Non-Small Cell Lung Carcinoma,C0007131
NCT02285361,Non-Small Cell Lung Carcinoma,C0007131
NCT01880515,NULL,
NCT02047903,Adenocarcinoma,C0001418
NCT02131259,NULL,
NCT02795156,NULL,
NCT02369484,Adenocarcinoma,C0001418
NCT02020577,NULL,
NCT02506517,NULL,
NCT01783587,Head and Neck Cancer,
NCT01169675,NULL,
NCT05204758,NULL,
NCT00949650,Non-Small Cell Lung Cancer,C0007131
NCT04201756,Adenocarcinoma,C0001418
NCT04031898,Adenocarcinoma,C0001418
NCT02975752,NULL,
NCT02847377,NULL,
NCT01871805,Non Small Cell Lung Cancer,C0007131
NCT03271554,Non Small Cell Lung Cancer,C0007131
NCT01801111,Non Small Cell Lung Cancer,C0007131
NCT02604342,Non Small Cell Lung Cancer,C0007131
NCT02013219,Non Small Cell Lung Cancer,C0007131
NCT03155009,Non Small Cell Lung Cancer,C0007131
NCT03779191,Adenocarcinoma,C0001418
NCT02450903,Adenocarcinoma,C0001418
NCT04351334,Non small Cell Lung Cancer,C0007131
NCT04979988,Non-Small Cell Lung Cancer,C0007131
NCT04997382,NULL,
NCT04647110,Adenocarcinoma,C0001418
NCT00891579,Non Small Cell Lung Cancer,C0007131
NCT00111839,Adenocarcinoma,C0001418
NCT00216203,Non Small Cell Lung Cancer,C0007131
NCT00528281,Non Small Cell Lung Cancer,C0007131
NCT00370292,Non Small Cell Lung Cancer,C0007131
NCT03366064,Non Small Cell Lung Cancer,C0007131
NCT02426658,Non-small Cell Lung Cancer,C0007131
NCT00227565,Small Cell Lung Cancer,C0149925
NCT01700400,NULL,
NCT00234052,Non Small Cell Lung Cancer,C0007131
NCT00268489,Non Small Cell Lung Cancer,C0007131
NCT00434174,NULL,
NCT00226577,Non Small Cell Lung Cancer,C0007131
NCT00744900,Non-small Cell Lung Cancer,C0007131
NCT00022646,Non Small Cell Lung Cancer,C0007131
NCT00095199,Non Small Cell Lung Cancer,C0007131
NCT00191191,Non-small Cell Lung Cancer,C0007131
NCT00372788,Non-small Cell Lung Cancer,C0007131
NCT00529100,Non Small Cell Lung Cancer,C0007131
NCT01126736,Non Small Cell Lung Cancer,C0007131
NCT00741221,Non Small Cell Lung Cancer,C0007131
NCT00871403,Non-small Cell Lung Cancer,C0007131
NCT00350792,Non Small Cell Lung Cancer,C0007131
NCT00982111,Non Small Cell Lung Cancer,C0007131
NCT00301808,Non Small Cell Lung Cancer,C0007131
NCT00387322,Non Small Cell Lung Cancer,C0007131
NCT01837329,Non-small Cell Lung Cancer,C0007131
NCT00942825,Non Small Cell Lung Cancer,C0007131
NCT00191308,NULL,
NCT01000480,Non Small Cell Lung Cancer,C0007131
NCT00530621,Lung Cancer,C0242379
NCT00660816,Non Small Cell Lung Cancer,C0007131
NCT00454194,Non Small Cell Lung Cancer,C0007131
NCT00407550,Non Small Cell Lung Cancer,C0007131
